City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,iskateley,67.6803,53.1512,62.26,92,85,5.46,RU,1692144999
84,flying fish cove,-10.4217,105.6791,76.68,83,100,12.66,CX,1692144999
85,east london,-33.0153,27.9116,59.4,63,100,8.34,ZA,1692145000
86,hithadhoo,-0.6,73.0833,82.02,68,4,4.5,MV,1692145000
87,bilibino,68.0546,166.4372,65.86,57,45,4.47,RU,1692145000
88,prince george,53.9166,-122.753,83.25,30,20,13.8,CA,1692144984
89,polyarnyy,69.1989,33.4478,52.93,92,93,7.49,RU,1692145000
90,remire-montjoly,4.9167,-52.2667,77.04,100,0,1.14,GF,1692145001
91,richards bay,-28.783,32.0377,63.77,66,100,8.41,ZA,1692145001
92,ola,59.5833,151.2833,59.14,96,100,7.52,RU,1692145001
93,lompoc,34.6391,-120.4579,95.14,77,40,8.05,US,1692144846
94,al mindak,20.1588,41.2834,78.4,43,77,2.51,SA,1692145002
95,tvoroyri,61.5556,-6.8111,52.03,88,94,8.3,FO,1692145002
96,bengkulu,-3.8004,102.2655,75.83,89,93,7.63,ID,1692144760
97,shamkhal,43.0596,47.3373,77.02,72,8,5.68,RU,1692145002
98,enewetak,11.3474,162.3373,83.62,77,93,10.09,MH,1692145002
99,pacific grove,36.6177,-121.9166,78.39,84,0,8.05,US,1692145003
100,lihue,21.9789,-159.3672,87.39,61,20,16.11,US,1692144764
101,howrah,22.5892,88.3103,84.2,94,40,4.61,IN,1692145003
102,gwadar,25.1216,62.3254,79.43,84,93,5.39,PK,1692145003
103,tolanaro,-25.0319,46.9987,65.88,92,22,7.83,MG,1692145003
104,papao,-17.75,-149.55,83.88,79,52,17.85,PF,1692144942
105,hermanus,-34.4187,19.2345,55.8,80,100,18.48,ZA,1692145004
106,san luis de la loma,17.2706,-100.8939,84.42,77,100,5.37,MX,1692145004
107,pemba,-12.974,40.5178,75.07,80,69,2.46,MZ,1692145004
108,labuan,5.2767,115.2417,79.16,89,20,0.0,MY,1692145004
109,cabo san lucas,22.8909,-109.9124,94.6,67,20,4.61,MX,1692144796
110,fort mcmurray,56.7268,-111.381,71.19,60,99,11.5,CA,1692144705
111,tromso,69.6496,18.957,51.82,87,75,13.8,NO,1692145005
112,tiffin,41.1145,-83.178,68.2,93,75,13.35,US,1692145005
113,gokwe,-18.2048,28.9349,57.11,23,57,8.03,ZW,1692145005
114,hinte,53.4167,7.1833,61.03,87,11,6.4,DE,1692145005
115,conde,-7.2597,-34.9075,71.06,88,20,4.61,BR,1692145006
116,juybar,36.6412,52.9124,68.16,40,0,6.04,IR,1692145006
117,invercargill,-46.4,168.35,49.01,78,45,3.0,NZ,1692145006
118,sevastopol,44.6,33.5333,77.0,56,0,10.27,UA,1692145006
119,atafu village,-8.5421,-172.5159,82.53,80,28,17.36,TK,1692145006
120,freetown,8.484,-13.2299,76.33,89,100,9.8,SL,1692145007
121,mammoth lakes,37.6485,-118.9721,63.34,67,75,5.75,US,1692145007
122,fayzabad,37.1166,70.58,61.38,39,0,0.96,AF,1692145007
123,papatowai,-46.5619,169.4708,47.34,79,42,8.1,NZ,1692145007
124,cooper's town,26.8667,-77.5167,85.69,71,28,10.25,BS,1692145007
125,prince rupert,54.3161,-130.3201,62.69,76,75,10.36,CA,1692145007
126,hamilton,39.1834,-84.5333,69.89,91,100,9.22,US,1692144818
127,utrik,11.2278,169.8474,81.79,81,98,8.81,MH,1692145008
128,sena madureira,-9.0656,-68.6569,77.41,60,1,0.72,BR,1692144910
129,kalaleh,37.3807,55.4916,69.4,46,0,0.0,IR,1692145008
130,torbat-e jam,35.244,60.6225,64.2,20,0,16.51,IR,1692145008
131,kurchatov,51.6601,35.6521,63.01,81,0,5.48,RU,1692145008
132,changyon,38.2508,125.0961,76.6,85,55,0.22,KP,1692145008
